,id,original_title,popularity,title,vote_average,vote_count,0,1,2,3,4,5,6,7
31,63,Twelve Monkeys,12.297305,Twelve Monkeys,7.4,2470.0,Science Fiction,Thriller,Mystery,,,,,
32,78802,"Guillaumet, les ailes du courage",0.745542,Wings of Courage,6.8,4.0,Romance,Adventure,,,,,,
33,9598,Babe,14.404764000000002,Babe,6.0,756.0,Fantasy,Drama,Comedy,Family,,,,
34,47018,Carrington,1.4933610000000002,Carrington,6.4,16.0,History,Drama,Romance,,,,,
35,687,Dead Man Walking,6.891317,Dead Man Walking,7.3,350.0,Drama,,,,,,,
36,139405,Across the Sea of Time,0.114469,Across the Sea of Time,3.5,2.0,Adventure,History,Drama,Family,,,,
37,33689,It Takes Two,7.777735000000001,It Takes Two,6.1,149.0,Comedy,Family,Romance,,,,,
38,9603,Clueless,9.882383,Clueless,6.9,828.0,Comedy,Drama,Romance,,,,,
39,34615,"Cry, the Beloved Country",0.894647,"Cry, the Beloved Country",6.7,13.0,Drama,,,,,,,
40,31174,Richard III,4.561387,Richard III,6.9,50.0,Drama,War,,,,,,
41,11443,Dead Presidents,9.87957,Dead Presidents,6.6,80.0,Action,Crime,Drama,History,,,,
42,35196,Restoration,10.979269,Restoration,6.3,30.0,Drama,Romance,,,,,,
43,9312,Mortal Kombat,10.870138,Mortal Kombat,5.4,452.0,Action,Fantasy,,,,,,
44,577,To Die For,10.448481,To Die For,6.7,177.0,Fantasy,Drama,Comedy,Thriller,,,,
45,11861,How To Make An American Quilt,4.485958,How To Make An American Quilt,6.5,38.0,Drama,Romance,,,,,,
46,807,Se7en,18.45743,Se7en,8.1,5915.0,Crime,Mystery,Thriller,,,,,
47,10530,Pocahontas,13.280069000000001,Pocahontas,6.7,1509.0,Adventure,Animation,Drama,Family,,,,
48,8391,When Night Is Falling,3.302524,When Night Is Falling,5.9,10.0,Drama,Romance,,,,,,
49,629,The Usual Suspects,16.302466,The Usual Suspects,8.1,3334.0,Drama,Crime,Thriller,,,,,
50,117164,Guardian Angel,0.595949,Guardian Angel,6.3,3.0,Action,Thriller,Drama,,,,,
51,11448,Mighty Aphrodite,15.899134,Mighty Aphrodite,6.7,145.0,Comedy,Romance,,,,,,
52,49133,Lamerica,1.361286,Lamerica,7.7,11.0,Drama,Foreign,,,,,,
53,26441,The Big Green,5.9827639999999995,The Big Green,5.2,41.0,Action,Adventure,Comedy,Family,,,,
54,97406,Georgia,4.093443,Georgia,6.1,15.0,Drama,,,,,,,
55,124057,Kids of the Round Table,0.307075,Kids of the Round Table,3.0,1.0,,,,,,,,
56,9089,Home for the Holidays,8.416802,Home for the Holidays,6.3,39.0,Comedy,Drama,Romance,,,,,
57,11010,Il postino,10.168436999999999,The Postman,7.6,181.0,Comedy,Drama,Romance,,,,,
58,99040,Le confessionnal,0.12078900000000001,The Confessional,6.5,2.0,Thriller,Drama,Mystery,,,,,
59,11359,The Indian in the Cupboard,10.673296,The Indian in the Cupboard,5.9,136.0,Adventure,Family,Fantasy,,,,,
60,17182,Eye for an Eye,4.733526,Eye for an Eye,5.8,65.0,Drama,Thriller,,,,,,
61,2054,Mr. Holland's Opus,7.137117,Mr. Holland's Opus,6.9,115.0,Music,Drama,Family,,,,,
62,10607,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,11.700115,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,6.2,192.0,Comedy,,,,,,,
63,19760,Two If by Sea,2.174487,Two If by Sea,4.5,14.0,Comedy,Romance,,,,,,
64,9536,Bio-Dome,6.387469,Bio-Dome,4.4,110.0,Comedy,,,,,,,
65,11525,Lawnmower Man 2: Beyond Cyberspace,2.49535,Lawnmower Man 2: Beyond Cyberspace,2.8,32.0,Action,Science Fiction,,,,,,
66,40628,Two Bits,4.046208,Two Bits,5.4,11.0,Drama,Family,,,,,,
67,4482,Gazon maudit,2.518051,French Twist,6.0,43.0,Comedy,Romance,,,,,,
68,10634,Friday,14.56965,Friday,7.0,513.0,Comedy,,,,,,,
69,755,From Dusk Till Dawn,15.339153,From Dusk Till Dawn,6.9,1644.0,Horror,Action,Thriller,Crime,,,,
70,11859,Fair Game,5.912223,Fair Game,4.1,54.0,Action,Thriller,Romance,,,,,
71,28387,Kicking and Screaming,3.3672760000000004,Kicking and Screaming,7.0,36.0,Comedy,Drama,Romance,,,,,
72,48750,Les misérables,1.4794459999999998,Les Miserables,6.6,8.0,Drama,History,,,,,,
73,20927,Bed of Roses,10.412194,Bed of Roses,5.1,27.0,Drama,Romance,,,,,,
74,36929,Big Bully,2.936443,Big Bully,3.9,16.0,Comedy,Family,,,,,,
75,9102,Screamers,12.758848,Screamers,6.1,154.0,Horror,Science Fiction,,,,,,
76,124626,Nico Icon,0.133893,Nico Icon,7.3,3.0,Documentary,,,,,,,
77,27526,The Crossing Guard,5.756462,The Crossing Guard,6.1,74.0,Drama,Thriller,,,,,,
78,9623,The Juror,6.010579,The Juror,5.5,91.0,Drama,Thriller,,,,,,
79,46785,بادکنک سفید,1.196256,The White Balloon,7.5,20.0,Family,Drama,,,,,,
80,400,Things to Do in Denver When You're Dead,4.486179,Things to Do in Denver When You're Dead,6.7,87.0,Drama,Crime,,,,,,
81,880,Antonia,2.030174,Antonia's Line,7.2,26.0,Drama,Comedy,,,,,,
82,146599,Once Upon a Time... When We Were Colored,0.252287,Once Upon a Time... When We Were Colored,4.5,2.0,Romance,Drama,,,,,,
83,188588,Last Summer in the Hamptons,0.531159,Last Summer in the Hamptons,0.0,0.0,,,,,,,,
84,8447,Angels and Insects,2.1516599999999997,Angels and Insects,6.3,17.0,Drama,Romance,,,,,,
85,10534,White Squall,9.568603999999999,White Squall,6.3,86.0,Action,Drama,,,,,,
86,17414,Dunston Checks In,4.814825,Dunston Checks In,5.1,59.0,Adventure,Comedy,Family,,,,,
87,13997,Black Sheep,8.963037,Black Sheep,6.0,124.0,Comedy,,,,,,,
88,2086,Nick of Time,6.848591000000001,Nick of Time,6.1,190.0,Crime,Drama,Thriller,,,,,
89,61548,The Journey of August King,0.41142399999999996,The Journey of August King,6.7,3.0,Drama,,,,,,,
90,9095,Mary Reilly,12.866139,Mary Reilly,5.7,77.0,Drama,Horror,Thriller,Romance,,,,
91,12158,Vampire in Brooklyn,9.071127,Vampire in Brooklyn,4.5,113.0,Comedy,Horror,Romance,,,,,
92,9283,Beautiful Girls,4.670562,Beautiful Girls,6.6,103.0,Comedy,Drama,Romance,,,,,
93,9208,Broken Arrow,14.957626000000001,Broken Arrow,5.7,459.0,Action,Adventure,Drama,Thriller,,,,
94,40154,A Midwinter's Tale,0.5133909999999999,A Midwinter's Tale,7.5,6.0,Comedy,,,,,,,
95,406,La Haine,12.108196000000001,La Haine,7.9,695.0,Drama,,,,,,,
96,45549,Shopping,2.6576470000000003,Shopping,5.6,13.0,Action,Adventure,Drama,Science Fiction,Thriller,,,
97,63076,Heidi Fleiss: Hollywood Madam,0.638211,Heidi Fleiss: Hollywood Madam,6.8,4.0,Documentary,,,,,,,
98,11062,City Hall,4.8072230000000005,City Hall,6.0,67.0,Drama,Thriller,,,,,,
99,13685,Bottle Rocket,6.904831,Bottle Rocket,6.8,285.0,Comedy,Crime,Drama,,,,,
100,47475,Mr. Wrong,3.329264,Mr. Wrong,3.3,16.0,Comedy,Romance,,,,,,
101,2045,Unforgettable,2.464425,Unforgettable,5.3,22.0,Drama,Mystery,Science Fiction,Thriller,,,,
102,9614,Happy Gilmore,9.592265,Happy Gilmore,6.5,767.0,Comedy,,,,,,,
103,688,The Bridges of Madison County,5.951077,The Bridges of Madison County,7.3,397.0,Drama,Romance,,,,,,
104,11907,Keiner liebt mich,1.015068,Nobody Loves Me,5.1,5.0,Drama,Comedy,Family,,,,,
105,10874,Muppet Treasure Island,6.902423,Muppet Treasure Island,6.5,93.0,Action,Comedy,Music,Family,Adventure,,,
106,89333,Catwalk,0.976707,Catwalk,7.0,2.0,Documentary,,,,,,,
107,96357,Headless Body in Topless Bar,0.0013460000000000002,Headless Body in Topless Bar,0.0,0.0,Crime,,,,,,,
108,197,Braveheart,20.755149,Braveheart,7.7,3404.0,Action,Drama,History,War,,,,
109,103,Taxi Driver,14.092713,Taxi Driver,8.1,2632.0,Crime,Drama,,,,,,
110,33542,紅番區,12.314278,Rumble in the Bronx,6.5,245.0,Crime,Action,Comedy,Thriller,,,,
111,43566,Before and After,2.938293,Before and After,5.8,37.0,Drama,Thriller,,,,,,
112,71754,Margaret's Museum,0.372697,Margaret's Museum,7.5,2.0,Drama,,,,,,,
113,43612,Le Bonheur est dans le pré,1.254885,Happiness Is in the Field,7.0,23.0,Comedy,,,,,,,
114,51352,Anne Frank Remembered,0.243986,Anne Frank Remembered,7.3,4.0,Documentary,Drama,Foreign,,,,,
115,16934,The Young Poisoner's Handbook,6.178497,The Young Poisoner's Handbook,6.9,19.0,Comedy,Crime,Drama,,,,,
116,10324,If Lucy Fell,2.891918,If Lucy Fell,5.4,11.0,Comedy,Romance,,,,,,
117,78406,Steal Big Steal Little,1.522412,Steal Big Steal Little,5.1,7.0,Comedy,Drama,,,,,,
118,55731,Race the Sun,1.317878,Race the Sun,5.2,21.0,Action,Adventure,Comedy,Drama,Family,,,
119,32119,The Boys of St. Vincent,0.86539,The Boys of St. Vincent,7.0,7.0,Drama,,,,,,,
120,11066,Boomerang,6.506983,Boomerang,5.4,139.0,Comedy,Romance,,,,,,
121,11104,重慶森林,6.778979,Chungking Express,7.9,249.0,Drama,Comedy,Romance,,,,,
122,37975,L'uomo delle stelle,1.702639,The Star Maker,6.8,29.0,Drama,Romance,,,,,,
123,2074,Flirting with Disaster,5.579088,Flirting with Disaster,6.3,66.0,Comedy,Romance,,,,,,
124,27793,The NeverEnding Story III,6.252377,The Neverending Story III: Escape from Fantasia,4.4,105.0,Fantasy,,,,,,,
125,44284,صمت القصور,0.406754,The Silences of the Palace,4.3,3.0,Drama,,,,,,,
126,290157,Jupiter's Wife,0.001178,Jupiter's Wife,0.0,0.0,,,,,,,,
127,110972,Pie in the Sky,0.699066,Pie in the Sky,7.0,2.0,Comedy,Romance,,,,,,
128,32622,Angela,2.197439,Angela,5.6,9.0,Comedy,Drama,,,,,,
129,73067,Frankie Starlight,0.637554,Frankie Starlight,5.4,4.0,Drama,Romance,War,,,,,
130,11863,Jade,11.418917,Jade,5.1,45.0,Action,Thriller,Mystery,Romance,,,,
131,55475,Nueba Yol,0.29102100000000003,Nueba Yol,5.5,1.0,Comedy,Drama,Romance,,,,,
132,124636,Sonic Outlaws,0.001838,Sonic Outlaws,0.0,0.0,Music,Documentary,,,,,,
133,9101,Down Periscope,5.184977,Down Periscope,5.6,110.0,Comedy,,,,,,,
134,123360,From the Journals of Jean Seberg,0.276401,From the Journals of Jean Seberg,6.5,2.0,Documentary,,,,,,,
135,5757,Man of the Year,0.5404359999999999,Man of the Year,3.8,2.0,Comedy,,,,,,,
136,39428,The Neon Bible,0.370342,The Neon Bible,7.2,5.0,Drama,,,,,,,
137,124639,Target,0.0012050000000000001,Target,0.0,0.0,,,,,,,,
138,9302,Up Close & Personal,3.4027489999999996,Up Close & Personal,5.9,51.0,Drama,Romance,,,,,,
139,11000,The Birdcage,6.499680000000001,The Birdcage,6.7,303.0,Comedy,,,,,,,
140,249882,Gospa,0.9185040000000001,Virgin Mary,7.0,2.0,Drama,,,,,,,
141,16388,The Brothers McMullen,2.039196,The Brothers McMullen,6.3,23.0,Comedy,Drama,Romance,,,,,
142,9737,Bad Boys,9.262184,Bad Boys,6.5,1729.0,Action,Comedy,Crime,Thriller,,,,
143,30765,The Amazing Panda Adventure,2.375865,The Amazing Panda Adventure,5.0,31.0,Action,Adventure,Drama,Family,,,,
144,10474,The Basketball Diaries,7.415144000000001,The Basketball Diaries,7.2,472.0,Drama,Crime,,,,,,
145,22279,An Awfully Big Adventure,0.922958,An Awfully Big Adventure,6.0,11.0,Romance,Drama,Comedy,,,,,
146,30157,Amateur,1.7590119999999998,Amateur,6.5,21.0,Crime,Comedy,Drama,Thriller,,,,
147,568,Apollo 13,18.761467,Apollo 13,7.3,1637.0,Drama,,,,,,,
148,11780,Rob Roy,10.193549,Rob Roy,6.5,151.0,Adventure,,,,,,,
149,34996,The Addiction,3.137285,The Addiction,6.4,46.0,Drama,Horror,,,,,,
150,414,Batman Forever,13.321354000000001,Batman Forever,5.2,1529.0,Action,Crime,Fantasy,,,,,
151,649,Belle de jour,10.142662,Belle de Jour,7.3,163.0,Drama,Romance,,,,,,
152,1873,Beyond Rangoon,2.04189,Beyond Rangoon,6.4,21.0,Drama,Thriller,,,,,,
153,5894,Blue in the Face,11.528147,Blue in the Face,6.8,28.0,Comedy,,,,,,,
154,1775,Canadian Bacon,5.391556,Canadian Bacon,5.9,57.0,Action,Comedy,,,,,,
155,8839,Casper,12.812539,Casper,6.0,1045.0,Fantasy,Comedy,Family,,,,,
156,20649,Clockers,4.558992,Clockers,6.8,69.0,Mystery,Crime,Drama,,,,,
157,10329,Congo,7.260574,Congo,5.0,214.0,Action,Adventure,Drama,Mystery,Science Fiction,Thriller,,
158,8963,Crimson Tide,8.657364999999999,Crimson Tide,7.0,508.0,Action,Thriller,Drama,,,,,
159,26564,Crumb,3.6203879999999997,Crumb,7.6,71.0,Documentary,,,,,,,
160,8068,Desperado,6.950458,Desperado,6.8,898.0,Thriller,Action,Crime,,,,,
161,8512,Devil in a Blue Dress,4.646132,Devil in a Blue Dress,6.3,88.0,Drama,Mystery,Thriller,,,,,
162,1572,Die Hard: With a Vengeance,15.138855,Die Hard: With a Vengeance,6.9,2094.0,Action,Thriller,,,,,,
163,13552,The Doom Generation,7.120806,The Doom Generation,5.6,57.0,Action,Comedy,Crime,Drama,,,,
164,259209,Feast of July,0.523575,Feast of July,0.0,0.0,Drama,Crime,,,,,,
165,6520,First Knight,15.178338,First Knight,5.9,319.0,Action,Adventure,Drama,Romance,,,,
166,9073,Free Willy 2 - The Adventure Home,7.575098,Free Willy 2 - The Adventure Home,5.5,130.0,Adventure,,,,,,,
167,10428,Hackers,14.810519000000001,Hackers,6.2,406.0,Action,Crime,Thriller,Drama,,,,
168,17447,Jeffrey,3.196456,Jeffrey,6.5,19.0,Comedy,Drama,Romance,,,,,
169,9886,Johnny Mnemonic,11.715867999999999,Johnny Mnemonic,5.5,380.0,Adventure,Action,Drama,Science Fiction,Thriller,,,
170,9482,Judge Dredd,8.184814999999999,Judge Dredd,5.4,643.0,Science Fiction,,,,,,,
171,19326,Jury Duty,3.676921,Jury Duty,4.0,34.0,Comedy,Drama,,,,,,
172,9344,Kids,4.877872,Kids,6.8,280.0,Drama,Crime,,,,,,
173,9071,Living in Oblivion,10.058328999999999,Living in Oblivion,7.2,64.0,Drama,Comedy,,,,,,
174,8973,Lord of Illusions,4.102409,Lord of Illusions,5.9,87.0,Mystery,Horror,Thriller,,,,,
175,15730,Love & Human Remains,0.354014,Love & Human Remains,7.0,7.0,Comedy,Drama,,,,,,
176,47608,Mad Love,2.624771,Mad Love,5.5,27.0,Drama,Family,Romance,,,,,
177,2293,Mallrats,8.255469999999999,Mallrats,6.8,400.0,Romance,Comedy,,,,,,
178,9070,Mighty Morphin Power Rangers: The Movie,7.024227000000001,Mighty Morphin Power Rangers: The Movie,5.2,153.0,Action,Adventure,Science Fiction,Family,Fantasy,,,
179,68274,Moonlight and Valentino,1.01115,Moonlight and Valentino,5.6,10.0,Comedy,Drama,Romance,,,,,
180,48787,Mute Witness,2.466066,Mute Witness,6.4,36.0,Thriller,Foreign,,,,,,
181,34574,Nadja,7.720056,Nadja,5.9,12.0,Horror,Thriller,,,,,,
182,1642,The Net,13.304342000000002,The Net,5.6,359.0,Crime,Drama,Mystery,Thriller,Action,,,
183,11472,Nine Months,8.482834,Nine Months,5.5,171.0,Comedy,,,,,,,
184,36196,Party Girl,1.165039,Party Girl,5.8,14.0,Comedy,,,,,,,
185,11980,The Prophecy,10.187623,The Prophecy,6.4,139.0,Fantasy,Horror,Thriller,,,,,
186,58372,Reckless,0.11971300000000001,Reckless,10.0,1.0,Fantasy,Comedy,Drama,,,,,
187,32646,Safe,8.180047,Safe,7.2,62.0,Drama,,,,,,,
188,10533,The Scarlet Letter,6.752119,The Scarlet Letter,5.5,111.0,Drama,History,Romance,,,,,
189,,,,,,,,,,,,,,
190,10802,Showgirls,17.502375,Showgirls,4.9,261.0,Drama,,,,,,,
191,10149,Smoke,5.5529459999999995,Smoke,7.2,115.0,Comedy,Drama,,,,,,
192,18402,Something to Talk About,3.743212,Something to Talk About,5.7,60.0,Comedy,,,,,,,
193,9348,Species,13.492845,Species,5.5,457.0,Science Fiction,Horror,Action,,,,,
194,139408,The Stars Fell on Henrietta,0.913522,The Stars Fell on Henrietta,6.6,6.0,Drama,,,,,,,
195,281,Strange Days,11.223055,Strange Days,6.8,334.0,Crime,Drama,Science Fiction,Thriller,,,,
196,5967,Les parapluies de Cherbourg,8.133881,The Umbrellas of Cherbourg,7.6,119.0,Drama,Romance,,,,,,
197,79593,The Tie That Binds,1.8204189999999998,The Tie That Binds,4.6,9.0,Thriller,,,,,,,
198,47939,Three Wishes,11.002046,Three Wishes,6.1,18.0,Drama,Fantasy,,,,,,
199,36834,Total Eclipse,4.546551999999999,Total Eclipse,6.5,112.0,Drama,Romance,,,,,,
200,9090,"To Wong Foo, Thanks for Everything! Julie Newmar",7.653446000000001,"To Wong Foo, Thanks for Everything! Julie Newmar",6.3,117.0,Comedy,,,,,,,
201,3512,Under Siege 2: Dark Territory,7.490247,Under Siege 2: Dark Territory,5.6,217.0,Action,Thriller,,,,,,
202,52856,Unstrung Heroes,2.8816889999999997,Unstrung Heroes,6.4,9.0,Comedy,Drama,Family,,,,,
203,77350,Unzipped,0.7860229999999999,Unzipped,6.0,6.0,Documentary,,,,,,,
204,9560,A Walk in the Clouds,9.715639,A Walk in the Clouds,6.5,168.0,Drama,Romance,,,,,,
205,9804,Waterworld,16.885184,Waterworld,5.9,1017.0,Adventure,Action,,,,,,
206,31611,White Man's Burden,1.8340990000000001,White Man's Burden,5.1,25.0,Drama,,,,,,,
207,65796,Wild Bill,8.922139,Wild Bill,5.9,27.0,Action,Western,,,,,,
208,49805,The Browning Version,3.727644,The Browning Version,6.0,11.0,Drama,,,,,,,
209,26258,Bushwhacked,3.287036,Bushwhacked,4.9,29.0,Adventure,Action,Comedy,Crime,Family,,,
210,50797,Утомлённые солнцем,2.4860729999999998,Burnt by the Sun,6.7,35.0,Drama,,,,,,,
211,19155,Before the Rain,3.5256489999999996,Before the Rain,7.7,45.0,Drama,War,,,,,,
212,76,Before Sunrise,11.304979,Before Sunrise,7.7,984.0,Drama,Romance,,,,,,
213,11017,Billy Madison,6.638116,Billy Madison,6.2,464.0,Comedy,,,,,,,
214,37141,The Babysitter,2.761837,The Babysitter,4.7,27.0,Drama,Thriller,,,,,,
215,9382,Boys on the Side,3.030309,Boys on the Side,6.3,48.0,Comedy,Drama,,,,,,
216,6715,The Cure,2.686342,The Cure,7.2,58.0,Drama,Family,,,,,,
217,18256,Castle Freak,2.2697700000000003,Castle Freak,5.8,40.0,Thriller,Drama,Horror,Mystery,,,,
218,22625,Circle of Friends,2.605521,Circle of Friends,6.5,30.0,Drama,Family,Romance,,,,,
219,2292,Clerks,10.513367,Clerks,7.4,769.0,Comedy,,,,,,,
220,1909,Don Juan DeMarco,7.438934,Don Juan DeMarco,6.3,184.0,Romance,Drama,Comedy,,,,,
221,8984,Disclosure,11.812244,Disclosure,5.9,217.0,Drama,Thriller,Crime,Mystery,Romance,,,
222,61813,Dream Man,0.155859,Dream Man,2.5,1.0,Thriller,,,,,,,
223,4954,Drop Zone,9.579155,Drop Zone,5.1,91.0,Action,Adventure,Thriller,,,,,
224,62488,Destiny Turns on the Radio,0.710671,Destiny Turns on the Radio,5.3,9.0,Crime,Comedy,Fantasy,,,,,
225,10531,Death and the Maiden,5.484156,Death and the Maiden,7.1,92.0,Drama,Thriller,Mystery,,,,,
226,11929,Dolores Claiborne,5.8025,Dolores Claiborne,7.1,183.0,Crime,Drama,Mystery,,,,,
227,8467,Dumb and Dumber,9.844558000000001,Dumb and Dumber,6.5,1894.0,Comedy,,,,,,,
228,10451,飲食男女,4.860016000000001,Eat Drink Man Woman,7.5,76.0,Comedy,Drama,Romance,,,,,
229,20156,Exotica,5.378467,Exotica,6.5,64.0,Drama,Mystery,,,,,,
230,18395,Exit to Eden,4.322726,Exit to Eden,4.3,28.0,Thriller,Comedy,Crime,Romance,,,,
231,522,Ed Wood,11.720358000000001,Ed Wood,7.3,639.0,Comedy,Drama,History,,,,,
232,397,French Kiss,9.146544,French Kiss,6.2,179.0,Comedy,Romance,,,,,,
233,10525,Forget Paris,16.236745000000003,Forget Paris,6.1,38.0,Comedy,Drama,Romance,,,,,
234,27985,Far from Home: The Adventures of Yellow Dog,2.657337,Far from Home: The Adventures of Yellow Dog,5.6,27.0,Action,Adventure,Drama,Family,,,,
235,15789,A Goofy Movie,10.177977,A Goofy Movie,6.7,404.0,Romance,Animation,Family,Comedy,Adventure,,,
236,27303,Hideaway,8.182165,Hideaway,5.0,24.0,Drama,Thriller,,,,,,
237,21183,Fluke,4.953936,Fluke,6.6,48.0,Drama,Family,Fantasy,,,,,
238,10954,Farinelli,8.935058,Farinelli,5.9,20.0,History,Drama,,,,,,
239,47867,Gordy,0.398924,Gordy,3.0,4.0,Drama,Family,Fantasy,,,,,
240,43475,Gumby: The Movie,0.090452,Gumby: The Movie,5.0,2.0,Fantasy,Animation,Science Fiction,Family,,,,
241,72031,The Glass Shield,1.012197,The Glass Shield,5.4,9.0,Drama,Action,Thriller,Crime,,,,
242,14275,Hoop Dreams,9.47666,Hoop Dreams,7.7,91.0,Documentary,,,,,,,
243,1024,Heavenly Creatures,9.438042,Heavenly Creatures,6.9,299.0,Drama,Fantasy,,,,,,
244,17207,Houseguest,2.688562,Houseguest,6.0,17.0,Comedy,Family,,,,,,
245,13701,Immortal Beloved,7.983666,Immortal Beloved,6.9,90.0,Drama,Music,Romance,,,,,
246,14819,Heavyweights,9.546707000000001,Heavyweights,6.0,97.0,Comedy,Family,Drama,,,,,
247,32631,The Hunted,2.756986,The Hunted,6.0,25.0,Action,Thriller,,,,,,
248,11777,I.Q.,5.146351999999999,I.Q.,5.9,112.0,Comedy,Drama,Romance,,,,,
249,628,Interview with the Vampire,11.970205,Interview with the Vampire,7.2,1558.0,Horror,Romance,,,,,,
250,87729,Jefferson in Paris,1.596058,Jefferson in Paris,5.2,10.0,Drama,Romance,,,,,,
251,18713,The Jerky Boys,0.748846,The Jerky Boys,4.8,10.0,Comedy,Crime,,,,,,
252,6280,Junior,6.710215,Junior,4.7,381.0,Comedy,Family,Romance,,,,,
253,9061,Just Cause,9.195256,Just Cause,6.0,124.0,Action,Drama,Mystery,Thriller,,,,
254,37108,A Kid in King Arthur's Court,5.874511,A Kid in King Arthur's Court,4.3,40.0,Adventure,Fantasy,Comedy,Science Fiction,Family,,,
255,6071,Kiss of Death,7.797511999999999,Kiss of Death,5.7,83.0,Action,Crime,Drama,Thriller,,,,
256,11,Star Wars,42.149696999999996,Star Wars,8.1,6778.0,Adventure,Action,Science Fiction,,,,,
257,9587,Little Women,9.774994,Little Women,7.0,222.0,Drama,Romance,,,,,,
258,19101,A Little Princess,7.731725,A Little Princess,7.4,207.0,Drama,Family,Fantasy,,,,,
259,49980,Ladybird Ladybird,0.8450799999999999,Ladybird Ladybird,7.4,14.0,Drama,,,,,,,
260,17961,L'Enfer,1.9483150000000002,L'Enfer,6.6,22.0,Crime,Drama,,,,,,
261,18183,Como agua para chocolate,4.126083,Like Water for Chocolate,6.6,70.0,Drama,Romance,,,,,,
262,4476,Legends of the Fall,12.199047,Legends of the Fall,7.2,636.0,Adventure,Drama,Romance,War,,,,
263,11008,Major Payne,9.253362,Major Payne,6.1,164.0,Adventure,Comedy,Family,,,,,
264,47504,Little Odessa,1.8612919999999997,Little Odessa,6.4,31.0,Action,Drama,,,,,,
265,32325,Mi Vida Loca,1.788829,Mi Vida Loca,5.7,9.0,Crime,Drama,,,,,,
266,43742,Love Affair,3.290192,Love Affair,4.3,11.0,Drama,Romance,,,,,,
267,28313,Losing Isaiah,7.698525999999999,Losing Isaiah,6.4,28.0,Drama,,,,,,,
268,11318,The Madness of King George,4.81307,The Madness of King George,6.7,67.0,Comedy,Drama,History,,,,,
269,3036,Frankenstein,14.287753,Mary Shelley's Frankenstein,6.1,272.0,Drama,Horror,Science Fiction,Romance,,,,
270,40490,Man of the House,2.558118,Man of the House,5.1,40.0,Action,Comedy,Family,,,,,
